# DES13C3ui 
# AvG = 0.029 
# zhel = 0.0667 
# zcmb = 0.06629 
# Texplosion = 56529.5 +/- 15.0 
# If you use the data, please cite de Jaeger et al. 2020 
# MJD 	  mag 	   error   filter 
56543.25  19.448   0.003   DES g 
56547.28  19.655   0.003   DES g 
56559.18  20.184   0.009   DES g 
56563.28  20.367   0.006   DES g 
56567.23  20.503   0.006   DES g 
56575.20  20.689   0.006   DES g 
56579.19  20.750   0.011   DES g 
56590.36  21.004   0.092   DES g 
56595.10  21.048   0.011   DES g 
56602.13  21.368   0.008   DES g 
56607.07  21.908   0.052   DES g 
56617.04  22.614   0.028   DES g 
56625.22  22.927   0.031   DES g 
56629.05  22.942   0.047   DES g 
56635.26  22.910   0.058   DES g 
56646.07  23.085   0.053   DES g 
56653.06  23.346   0.080   DES g 
56660.13  23.203   0.037   DES g 
56667.14  23.156   0.104   DES g 
56676.08  23.495   0.159   DES g 
56683.07  23.501   0.062   DES g 
56687.14  23.606   0.125   DES g 
56694.05  23.680   0.093   DES g 
56545.25  19.488   0.002   DES r 
56558.25  19.692   0.003   DES r 
56564.29  19.835   0.003   DES r 
56568.25  19.873   0.003   DES r 
56576.18  19.955   0.003   DES r 
56579.34  19.957   0.003   DES r 
56591.32  20.036   0.003   DES r 
56595.24  20.142   0.032   DES r 
56602.30  20.261   0.004   DES r 
56607.30  20.510   0.005   DES r 
56611.32  20.750   0.010   DES r 
56615.25  20.996   0.014   DES r 
56627.14  21.332   0.007   DES r 
56635.20  21.409   0.009   DES r 
56648.21  21.498   0.012   DES r 
56655.05  21.557   0.008   DES r 
56662.06  21.612   0.008   DES r 
56668.18  21.621   0.020   DES r 
56675.20  21.753   0.042   DES r 
56538.34  19.423   0.003   DES i 
56545.23  19.545   0.003   DES i 
56552.36  19.747   0.007   DES i 
56558.38  19.766   0.004   DES i 
56559.27  19.783   0.003   DES i 
56564.24  19.850   0.003   DES i 
56568.19  19.913   0.003   DES i 
56575.37  19.972   0.005   DES i 
56576.15  19.973   0.003   DES i 
56579.31  19.988   0.003   DES i 
56591.31  20.051   0.004   DES i 
56595.21  20.064   0.040   DES i 
56602.28  20.210   0.004   DES i 
56607.28  20.415   0.005   DES i 
56611.29  20.660   0.010   DES i 
56615.23  20.925   0.012   DES i 
56625.28  21.243   0.010   DES i 
56629.12  21.353   0.024   DES i 
56636.13  21.380   0.011   DES i 
56645.15  21.501   0.014   DES i 
56649.18  21.575   0.014   DES i 
56656.06  21.637   0.009   DES i 
56661.17  21.732   0.018   DES i 
56668.14  21.862   0.020   DES i 
56675.18  21.916   0.033   DES i 
56682.16  22.007   0.021   DES i 
56690.09  22.112   0.015   DES i 
56697.09  22.279   0.029   DES i 
56538.28  19.545   0.004   DES z 
56544.26  19.572   0.006   DES z 
56548.27  19.708   0.003   DES z 
56558.18  19.838   0.004   DES z 
56563.29  19.924   0.004   DES z 
56567.30  19.972   0.004   DES z 
56575.22  20.052   0.003   DES z 
56579.21  20.065   0.004   DES z 
56591.21  20.139   0.005   DES z 
56595.12  20.114   0.018   DES z 
56602.15  20.288   0.005   DES z 
56607.21  20.450   0.009   DES z 
56611.22  20.682   0.009   DES z 
56615.16  20.935   0.015   DES z 
56625.23  21.188   0.010   DES z 
56629.07  21.280   0.017   DES z 
56636.06  21.317   0.011   DES z 
56641.07  21.371   0.015   DES z 
56648.06  21.501   0.013   DES z 
56653.18  21.597   0.025   DES z 
56660.14  21.614   0.016   DES z 
56667.15  21.664   0.026   DES z 
56668.05  21.665   0.014   DES z 
56675.13  21.863   0.031   DES z 
56682.11  21.959   0.025   DES z 
56688.10  21.907   0.029   DES z 
56695.05  22.042   0.023   DES z 
