# DES15C3bj 
# AvG = 0.0245 
# zhel = 0.2874 
# zcmb = 0.287015 
# Texplosion = 57239.5 +/- 20.0 
# If you use the data, please cite de Jaeger et al. 2020 
# MJD 	  mag 	   error   filter 
57249.40  22.875   0.042   DES g 
57255.33  22.901   0.064   DES g 
57268.25  23.214   0.197   DES g 
57278.25  23.063   0.049   DES g 
57287.25  23.350   0.088   DES g 
57297.25  23.082   0.161   DES g 
57302.24  23.332   0.057   DES g 
57311.21  23.471   0.063   DES g 
57317.16  23.508   0.131   DES g 
57327.09  23.561   0.095   DES g 
57331.19  23.652   0.076   DES g 
57339.20  23.573   0.083   DES g 
57345.25  23.345   0.067   DES g 
57356.14  23.686   0.092   DES g 
57365.19  23.751   0.058   DES g 
57372.13  23.749   0.075   DES g 
57376.17  23.746   0.248   DES g 
57385.16  24.075   0.166   DES g 
57389.14  23.608   0.098   DES g 
57394.17  23.590   0.095   DES g 
57399.18  24.016   0.139   DES g 
57406.05  23.684   0.168   DES g 
57425.11  24.271   0.169   DES g 
57249.41  22.029   0.018   DES r 
57250.29  21.979   0.032   DES r 
57255.37  22.080   0.030   DES r 
57265.35  22.168   0.041   DES r 
57276.32  22.270   0.026   DES r 
57283.27  22.322   0.021   DES r 
57287.35  22.313   0.031   DES r 
57288.30  22.426   0.038   DES r 
57291.20  22.288   0.066   DES r 
57297.35  22.510   0.056   DES r 
57302.25  22.474   0.028   DES r 
57311.21  22.500   0.022   DES r 
57317.19  22.594   0.033   DES r 
57325.18  22.584   0.042   DES r 
57329.19  22.853   0.041   DES r 
57339.13  22.976   0.048   DES r 
57345.27  22.900   0.037   DES r 
57356.08  22.789   0.024   DES r 
57365.20  22.798   0.021   DES r 
57372.14  23.003   0.040   DES r 
57378.05  22.990   0.065   DES r 
57385.17  23.007   0.043   DES r 
57389.16  23.095   0.047   DES r 
57395.16  23.272   0.083   DES r 
57402.11  23.029   0.032   DES r 
57408.09  23.011   0.077   DES r 
57408.09  23.130   0.101   DES r 
57426.12  23.638   0.099   DES r 
57250.31  21.691   0.040   DES i 
57257.28  21.747   0.020   DES i 
57266.25  21.809   0.026   DES i 
57277.37  21.846   0.015   DES i 
57284.35  21.898   0.023   DES i 
57288.32  22.063   0.030   DES i 
57292.23  22.048   0.046   DES i 
57297.36  21.925   0.031   DES i 
57302.27  22.025   0.023   DES i 
57311.23  22.040   0.015   DES i 
57318.11  21.966   0.037   DES i 
57327.09  22.118   0.025   DES i 
57331.21  22.130   0.026   DES i 
57339.21  22.237   0.024   DES i 
57345.29  22.173   0.029   DES i 
57349.24  22.475   0.053   DES i 
57356.14  22.235   0.020   DES i 
57365.22  22.256   0.015   DES i 
57372.15  22.280   0.028   DES i 
57387.11  22.349   0.019   DES i 
57391.17  22.245   0.066   DES i 
57397.09  22.406   0.030   DES i 
57404.05  22.434   0.028   DES i 
57425.09  22.419   0.039   DES i 
57253.28  21.606   0.021   DES z 
57265.30  21.824   0.022   DES z 
57277.32  21.950   0.018   DES z 
57287.19  22.183   0.043   DES z 
57292.18  22.212   0.063   DES z 
57299.16  22.159   0.080   DES z 
57304.31  22.145   0.052   DES z 
57311.31  22.262   0.028   DES z 
57318.13  22.302   0.047   DES z 
57327.13  22.265   0.029   DES z 
57331.24  22.438   0.036   DES z 
57339.23  22.434   0.051   DES z 
57346.05  22.558   0.039   DES z 
57355.25  22.476   0.038   DES z 
57359.22  22.919   0.239   DES z 
57365.14  22.530   0.027   DES z 
57372.18  22.656   0.048   DES z 
57378.14  22.624   0.043   DES z 
57387.13  22.729   0.040   DES z 
57394.10  22.660   0.059   DES z 
57401.07  22.735   0.034   DES z 
57406.12  22.832   0.058   DES z 
57426.07  22.868   0.070   DES z 
