# DES16X3km 
# AvG = 0.0717 
# zhel = 0.0546 
# zcmb = 0.053802 
# Texplosion = 57609.5 +/- 30.0 
# If you use the data, please cite de Jaeger et al. 2020 
# MJD 	  mag 	   error   filter 
57614.37  20.775   0.007   DES g 
57624.26  20.787   0.029   DES g 
57625.27  20.820   0.021   DES g 
57631.26  20.846   0.008   DES g 
57636.23  20.876   0.008   DES g 
57642.31  20.912   0.008   DES g 
57645.28  21.045   0.030   DES g 
57653.18  21.021   0.011   DES g 
57657.27  21.102   0.009   DES g 
57663.16  21.241   0.010   DES g 
57670.11  21.457   0.024   DES g 
57681.11  22.071   0.029   DES g 
57686.12  22.480   0.038   DES g 
57694.07  23.348   0.059   DES g 
57701.09  23.645   0.167   DES g 
57709.05  23.563   0.072   DES g 
57714.19  23.592   0.073   DES g 
57718.08  23.555   0.050   DES g 
57723.04  23.639   0.110   DES g 
57730.07  24.137   0.207   DES g 
57739.16  24.147   0.286   DES g 
57744.07  23.775   0.090   DES g 
57750.07  23.931   0.111   DES g 
57756.09  24.361   0.181   DES g 
57770.04  24.060   0.120   DES g 
57778.04  24.314   0.230   DES g 
57782.05  24.582   0.298   DES g 
57614.35  20.182   0.004   DES r 
57625.28  20.154   0.014   DES r 
57631.29  20.138   0.003   DES r 
57636.25  20.129   0.004   DES r 
57642.34  20.130   0.004   DES r 
57645.29  20.159   0.007   DES r 
57655.18  20.210   0.004   DES r 
57660.36  20.283   0.005   DES r 
57664.14  20.334   0.005   DES r 
57671.12  20.478   0.007   DES r 
57681.20  20.889   0.011   DES r 
57686.13  21.251   0.012   DES r 
57694.09  21.906   0.014   DES r 
57701.10  22.038   0.019   DES r 
57709.07  22.115   0.016   DES r 
57715.05  22.217   0.026   DES r 
57720.20  22.227   0.024   DES r 
57725.04  22.242   0.021   DES r 
57730.19  22.362   0.070   DES r 
57740.07  22.420   0.017   DES r 
57747.07  22.455   0.017   DES r 
57752.09  22.469   0.024   DES r 
57763.06  22.530   0.058   DES r 
57773.08  22.676   0.021   DES r 
57781.07  22.786   0.047   DES r 
57614.33  20.189   0.005   DES i 
57626.26  20.108   0.004   DES i 
57633.24  20.117   0.004   DES i 
57637.25  20.101   0.005   DES i 
57643.24  20.118   0.005   DES i 
57645.36  20.108   0.005   DES i 
57655.19  20.152   0.004   DES i 
57662.16  20.233   0.004   DES i 
57669.13  20.344   0.006   DES i 
57673.31  20.452   0.009   DES i 
57681.29  20.750   0.009   DES i 
57686.27  21.089   0.013   DES i 
57694.11  21.870   0.020   DES i 
57701.11  21.966   0.018   DES i 
57708.12  22.065   0.032   DES i 
57714.07  22.211   0.030   DES i 
57718.17  22.213   0.022   DES i 
57723.04  22.258   0.028   DES i 
57730.09  22.362   0.027   DES i 
57740.09  22.495   0.023   DES i 
57747.09  22.613   0.031   DES i 
57752.11  22.670   0.038   DES i 
57762.06  22.810   0.071   DES i 
57772.06  22.988   0.052   DES i 
57780.07  23.013   0.062   DES i 
57791.04  23.277   0.177   DES i 
57614.28  20.221   0.007   DES z 
57625.34  20.157   0.004   DES z 
57631.35  20.142   0.004   DES z 
57636.27  20.127   0.006   DES z 
57642.35  20.125   0.005   DES z 
57645.32  20.130   0.006   DES z 
57653.27  20.155   0.005   DES z 
57660.16  20.230   0.005   DES z 
57664.19  20.281   0.005   DES z 
57671.14  20.375   0.004   DES z 
57681.25  20.730   0.010   DES z 
57687.11  21.108   0.021   DES z 
57695.12  21.643   0.020   DES z 
57702.05  21.750   0.019   DES z 
57709.13  21.795   0.022   DES z 
57715.08  21.906   0.031   DES z 
57721.11  21.910   0.033   DES z 
57725.12  21.906   0.027   DES z 
57739.07  22.088   0.022   DES z 
57744.09  22.175   0.020   DES z 
57750.09  22.132   0.032   DES z 
57757.05  22.292   0.036   DES z 
57771.04  22.403   0.029   DES z 
57779.06  22.450   0.052   DES z 
